eventID,volume,energy_MeV,x_mm,y_mm,z_mm
7,Collimator,15.3732,-16.0545,4.60337,-575
7,Collimator,2.58943,-20.9521,-22.7361,-575
7,Collimator,1.79924,5.36818,17.9525,-575
,-21.0666,-50
97,DWC2,0.129306,-18.7615,-28.6433,200
97,Scint2,0.129306,-26.6573,-40.6901,597.5
97,Phantom,267.955,-4.64472,-13.2415,-365
97,Scint1,267.955,-6.64078,-18.8977,-202.5
97,DWC1,267.955,-8.51399,-24.2058,-50
97,DWC2,267.955,-11.5848,-32.9076,200
97,Scint2,267.955,-16.4675,-46.7435,597.5
97,Phantom,27.9821,-3.03667,-11.68,-365
97,Scint1,27.9821,-4.34817,-16.6714,-202.5
97,DWC1,27.9821,-5.57896,-21.3557,-50
97,DWC2,27.9821,-7.59666,-29.0348,200
97,Scint2,27.9821,-10.8048,-41.2446,597.5
97,Phantom,2.66303,4.34997,-7.48354,-365
97,Scint1,2.66303,6.17422,-10.6948,-202.5
97,DWC1,2.66303,7.88622,-13.7085,-50
97,DWC2,2.66303,10.6928,-18.6489,200
97,Scint2,2.66303,15.1552,-26.5042,597.5
97,Phantom,78.0562,6.20338,-4.82269,-365
97,Scint1,78.0562,8.81225,-6.90635,-202.5
97,DWC1,78.0562,11.2606,-8.86179,-50
97,DWC2,78.0562,15.2742,-12.0674,200
97,Scint2,78.0562,21.6559,-17.1644,597.5
97,Collimator,0.615533,-9.90421,-1.3808,-558.44
97,Phantom,0.226561,25.9234,-5.10008,-365
97,Collimator,0.62111,-4.16445,9.09161,-535.904
97,Collimator,6.03119,-4.10081,-10.2632,-575
97,Phantom,0.508377,4.86087,-3.76011,-365
97,Collimator,4.20848,13.5847,15.078,-575
97,Phantom,9.73287,6.58101,-3.33795,-365
97,Scint1,9.73287,9.34884,-4.79302,-202.5
97,DWC1,9.73287,11.9463,-6.15854,-50
97,DWC2,9.73287,16.2045,-8.3971,200
97,Scint2,9.73287,22.9751,-11.9564,597.5
97,Phantom,3.46738,7.15644,-4.32723,-365
97,Scint1,3.46738,10.1675,-6.20053,-202.5
97,DWC1,3.46738,12.9933,-7.95855,-50
97,DWC2,3.46738,17.6257,-10.8405,200
97,Scint2,3.46738,24.9912,-15.4229,597.5
97,Phantom,2.28344,6.77098,-2.18084,-365
97,Scint1,2.28344,9.61929,-3.15079,-202.5
97,DWC1,2.28344,12.2923,-4.06106,-50
97,DWC2,2.28344,16.6743,-5.5533,200
97,Scint2,2.28344,23.6418,-7.92597,597.5
97,Phantom,1.04319,6.04037,-2.05222,-365
97,Scint1,1.04319,8.58126,-2.96785,-202.5
97,DWC1,1.04319,10.9658,-3.82713,-50
97,DWC2,1.04319,14.8748,-5.2358,200
97,Scint2,1.04319,21.0903,-7.47557,597.5
97,Phantom,14.0576,4.31518,-1.16797,-365
97,Scint1,14.0576,6.13045,-1.71182,-202.5
97,DWC1,14.0576,7.83401,-2.2222,-50
97,DWC2,14.0576,10.6267,-3.05888,200
97,Scint2,14.0576,15.0672,-4.38921,597.5
97,Phantom,29.3597,3.46047,-2.99607,-365
97,Scint1,29.3597,4.91643,-4.30784,-202.5
97,DWC1,29.3597,6.28279,-5.53889,-50
97,DWC2,29.3597,8.52273,-7.55701,200
97,Scint2,29.3597,12.0842,-10.7658,597.5
97,Collimator,2.1886,-12.2045,-11.687,-575
98,Collimator,18.4198,-3.22715,-26.372,-575
98,Phantom,1.70019,23.9125,-49.251,-365
98,DWC1,1.70019,69.2988,-82.1619,-50
98,Collimator,0.451286,-18.9275,-8.58784,-575
98,Collimator,88.2857,-8.94678,-4.46711,-574.032
98,Collimator,5.7394,-9.10809,4.12828,-527.321
98,Phantom,5.7394,-7.13294,45.0192,-365
98,Phantom,1.1241,0.983307,-12.1375,-365
98,Scint1,1.1241,1.41178,-17.1557,-202.5
98,DWC1,1.1241,1.81389,-21.865,-50
98,DWC2,1.1241,2.47308,-29.5853,200
98,Scint2,1.1241,3.52119,-41.8606,597.5
98,Cherenkov,0.510999,-48.9725,10.8852,-850
98,Collimator,2.67707,-47.3769,-58.5062,-575
98,Collimator,14.6931,-25.0985,-46.3428,-575
98,Collimator,15.6529,-35.9681,-25.2127,-575
98,Collimator,2.36447,-6.2945,7.77041,-552.826
98,Phantom,32.8048,8.99633,-14.1712,-365
98,Scint1,32.8048,12.8128,-20.0514,-202.5
98,DWC1,32.8048,16.3944,-25.5697,-50
98,DWC2,32.8048,22.2659,-34.6161,200
98,Scint2,32.8048,31.6016,-48.9999,597.5
98,Phantom,6.29546,-5.65511,3.34733,-365
98,Scint1,6.29546,-8.05842,4.90856,-202.5
98,DWC1,6.29546,-10.3138,6.37372,-50
98,DWC2,6.29546,-14.0112,8.77563,200
98,Scint2,6.29546,-19.8901,12.5947,597.5
98,Collimator,15.5573,-11.9001,3.8286,-575
98,Collimator,3.54004,1.46232,-10.1656,-575
98,Phantom,270.311,-3.27124,-14.323,-365
98,Scint1,270.311,-4.65463,-20.2677,-202.5
98,DWC1,270.311,-5.95288,-25.8466,-50
98,DWC2,270.311,-8.08116,-34.9922,200
98,Scint2,270.311,-11.4651,-49.5338,597.5
98,Phantom,0.446015,4.9512,-14.8219,-365
98,Scint1,0.446015,7.05348,-20.9778,-202.5
98,DWC1,0.446015,9.0264,-26.7549,-50
98,DWC2,0.446015,12.2607,-36.2255,200
98,Phantom,9.12473,2.41214,-1.86267,-365
98,Scint1,9.12473,3.44661,-2.55483,-202.5
98,DWC1,9.12473,4.41742,-3.20439,-50
98,DWC2,9.12473,6.00892,-4.26925,200
98,Scint2,9.12473,8.5394,-5.96237,597.5
98,Phantom,177.241,-0.713489,-1.90383,-365
98,Scint1,177.241,-0.995119,-2.61263,-202.5
98,DWC1,177.241,-1.25942,-3.27781,-50
98,DWC2,177.241,-1.6927,-4.36828,200
98,Scint2,177.241,-2.38161,-6.10211,597.5
98,Phantom,35.243,5.97727,-3.57046,-365
98,Scint1,35.243,8.50334,-4.97818,-202.5
98,DWC1,35.243,10.874,-6.29926,-50
98,DWC2,35.243,14.7602,-8.46498,200
98,Scint2,35.243,20.9394,-11.9085,597.5
98,Phantom,12.8304,4.45983,-3.07948,-365
98,Scint1,6.28001,35.6055,25.1558,-202.5
98,DWC1,6.28001,69.4022,56.2497,-50
98,Phantom,2.39196,3.90413,-5.45227,-365
98,Scint1,2.39196,5.56226,-7.64777,-202.5
98,DWC1,2.39196,7.11835,-9.70815,-50
98,DWC2,2.39196,9.66932,-13.0858,200
98,Scint2,2.39196,13.7254,-18.4564,597.5
98,Phantom,29.3785,2.40279,-4.92928,-365
98,Phantom,2.98158,0.263188,-1.46927,-365
98,Scint1,2.98158,0.399672,-1.99988,-202.5
98,DWC1,2.98158,0.527758,-2.49784,-50
98,DWC2,2.98158,0.737733,-3.31416,200
98,Scint2,2.98158,1.07159,-4.61212,597.5
99,Collimator,0.59096,-26.0615,-41.5722,-575
99,Collimator,3.81711,28.6351,3.63791,-575
99,Collimator,0.239159,-40.7547,-31.9435,-575
99,Collimator,21.312,32.354,-4.68866,-575
